Kingdom	Phylum	Class	Order	Family	Genus	Id
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Nectriaceae	 g__Microcera	OTU_285
 k__Fungi	 p__Basidiomycota	 c__Pucciniomycetes	 o__Pucciniales	 f__Pucciniaceae	 g__Puccinia	OTU_4893
 k__Fungi	 p__Ascomycota	 c__Taphrinomycetes	 o__Taphrinales	 f__Taphrinaceae	 g__Taphrina	OTU_87
 k__Fungi	 p__Ascomycota	 c__Leotiomycetes	 o__Helotiales	 f__Dermateaceae	 g__Naevala	OTU_100
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Mucoraceae	 g__Pirella	OTU_3032
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Pyronemataceae	 g__Aleuria	OTU_477
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Pleosporales	 f__Pleosporaceae	 g__Exserohilum	OTU_194
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Hypocreaceae	 g__Hypocrea / Trichoderma	OTU_252
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Cortinariaceae	 g__Cortinarius	OTU_273
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mortierellales	 f__Mortierellaceae	 g__Mortierella	OTU_833
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Russulales	 f__Russulaceae	 g__Russula	OTU_2785
 k__Fungi	 p__Basidiomycota	 c__Microbotryomycetes	 o__Sporidiobolales	 f__Sporidiobolales_Incertae sedis	 g__Rhodotorula	OTU_779
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Sordariomycetidae_Incertae sedis	 f__Apiosporaceae	 g__Arthrinium	OTU_697
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Russulales	 f__Stereaceae	 g__Vesiculomyces	OTU_855
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Sordariales	 f__Chaetomiaceae	 g__Chaetomium	OTU_268
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Bionectriaceae	 g__Bionectria	OTU_57
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Trichomonascaceae	 g__Zygoascus	OTU_703
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Pleosporales	 f__Phaeosphaeriaceae	 g__Ophiosphaerella	OTU_253
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Mucoraceae	 g__Rhizopus	OTU_1534
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Gomphales	 f__Gomphaceae	 g__Ramaria	OTU_720
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Rhizophydiales	 f__Rhizophydiaceae	 g__Rhizophydium	OTU_1074
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Pilobolaceae	 g__Pilobolus	OTU_552
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Rhizophydiales	 f__Rhizophydiaceae	 g__Rhizophydium	OTU_671
 k__Fungi	 p__Glomeromycota	 c__Glomeromycetes	 o__Paraglomerales	 f__Paraglomeraceae	 g__Paraglomus	OTU_554
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Capnodiales	 f__Mycosphaerellaceae	 g__Cladosporium	OTU_579
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Nectriaceae	 g__Fusarium	OTU_115
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreomycetidae_Incertae sedis	 f__Plectosphaerellaceae	 g__Verticillium	OTU_2583
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Pilobolaceae	 g__Pilobolus	OTU_1189
 k__Fungi	 p__Glomeromycota	 c__Glomeromycetes	 o__Glomerales	 f__Glomeraceae	 g__Glomus	OTU_4115
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreomycetidae_Incertae sedis	 f__Plectosphaerellaceae	 g__Verticillium	OTU_2491
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Radiomycetaceae	 g__Apophysomyces	OTU_2139
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Eurotiales	 f__Trichocomaceae	 g__Penicillium	OTU_435
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mortierellales	 f__Mortierellaceae	 g__Mortierella	OTU_4760
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Hypocreaceae	 g__Acrostalagmus	OTU_834
 k__Fungi	 p__Basidiomycota	 c__Ustilaginomycotina_Incertae sedis	 o__Malasseziales	 f__Malasseziales_Incertae sedis	 g__Malassezia	OTU_742
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Hypocreaceae	 g__Hypocrea	OTU_946
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Rhizophydiales	 f__Rhizophydiaceae	 g__Rhizophydium	OTU_125
 k__Fungi	 p__Basidiomycota	 c__Pucciniomycetes	 o__Pucciniales	 f__Pucciniaceae	 g__Puccinia	OTU_466
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Pleosporales	 f__Pleosporales_Incertae sedis	 g__Stagonosporopsis	OTU_106
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetales_Incertae sedis	 g__Cyberlindnera	OTU_862
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Marasmiaceae	 g__Armillaria	OTU_270
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Dothideomycetes_Incertae sedis_Incertae sedis	 f__Dothideomycetes_Incertae sedis_Incertae sedis_Incertae sedis	 g__Monodictys	OTU_711
 k__Fungi	 p__Ascomycota	 c__Lecanoromycetes	 o__Lecanorales	 f__Parmeliaceae	 g__Hypotrachyna	OTU_544
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Ophiocordycipitaceae	 g__Hirsutella	OTU_1077
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mortierellales	 f__Mortierellaceae	 g__Mortierella	OTU_1179
 k__Fungi	 p__Basidiomycota	 c__Tremellomycetes	 o__Tremellales	 f__Tremellales_Incertae sedis	 g__Cryptococcus g1	OTU_880
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Sordariales	 f__Chaetomiaceae	 g__Humicola	OTU_212
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Eurotiales	 f__Trichocomaceae	 g__Talaromyces	OTU_165
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Hypocreaceae	 g__Hypocrea	OTU_213
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Pyrenulales	 f__Massariaceae	 g__Massaria	OTU_290
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Pyronemataceae	 g__Genea	OTU_377
 k__Fungi	 p__Basidiomycota	 c__Microbotryomycetes	 o__Leucosporidiales	 f__Leucosporidiaceae	 g__Leucosporidiella	OTU_1250
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Hypocreales_Incertae sedis	 g__Acremonium	OTU_306
 k__Fungi	 p__Zygomycota	 c__Entomophthoromycotina_Incertae sedis	 o__Entomophthorales	 f__Basidiobolaceae	 g__Basidiobolus	OTU_267
 k__Fungi	 p__Zygomycota	 c__Kickxellomycotina_Incertae sedis	 o__Kickxellales	 f__Kickxellaceae	 g__Ramicandelaber	OTU_897
 k__Fungi	 p__Basidiomycota	 c__Microbotryomycetes	 o__Sporidiobolales	 f__Sporidiobolaceae	 g__Sporidiobolus	OTU_616
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Onygenales	 f__Onygenaceae	 g__Aphanoascus	OTU_2417
 k__Fungi	 p__Basidiomycota	 c__Microbotryomycetes	 o__Leucosporidiales	 f__Leucosporidiaceae	 g__Leucosporidiella	OTU_276
 k__Fungi	 p__Basidiomycota	 c__Tremellomycetes	 o__Tremellales	 f__Tremellales_Incertae sedis	 g__Bullera	OTU_367
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Rhizopodaceae	 g__Syzygites	OTU_2057
 k__Fungi	 p__Ascomycota	 c__Orbiliomycetes	 o__Orbiliales	 f__Orbiliaceae	 g__Dactylella	OTU_700
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Rhizophydiales	 f__Rhizophydiaceae	 g__Rhizophydium	OTU_975
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Cordycipitaceae	 g__Engyodontium	OTU_3816
 k__Fungi	 p__Ascomycota	 c__Orbiliomycetes	 o__Orbiliales	 f__Orbiliaceae	 g__Dwayaangam	OTU_224
 k__Fungi	 p__Ascomycota	 c__Leotiomycetes	 o__Erysiphales	 f__Erysiphaceae	 g__Blumeria	OTU_299
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Rhizophydiales	 f__Rhizophydiaceae	 g__Rhizophydium	OTU_2651
 k__Fungi	 p__Basidiomycota	 c__Agaricostilbomycetes	 o__Agaricostilbales	 f__Agaricostilbaceae	 g__Bensingtonia	OTU_320
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mortierellales	 f__Mortierellaceae	 g__Mortierella	OTU_746
 k__Fungi	 p__Basidiomycota	 c__Tremellomycetes	 o__Filobasidiales	 f__Filobasidiaceae	 g__Cryptococcus g2	OTU_1304
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mortierellales	 f__Mortierellaceae	 g__Mortierella	OTU_4679
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Radiomycetaceae	 g__Radiomyces	OTU_334
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Nectriaceae	 g__Fusarium	OTU_3987
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetales_Incertae sedis	 g__Candida	OTU_4297
 k__Fungi	 p__Basidiomycota	 c__Agaricostilbomycetes	 o__Agaricostilbales	 f__Agaricostilbaceae	 g__Bensingtonia	OTU_586
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Hypocreaceae	 g__Trichoderma	OTU_621
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Pleosporales	 f__Pleosporales_Incertae sedis	 g__Phoma	OTU_59
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Pleosporales	 f__Pleosporales_Incertae sedis	 g__Pyrenochaeta	OTU_113
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mortierellales	 f__Mortierellaceae	 g__Mortierella	OTU_628
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Pilobolaceae	 g__Pilobolus	OTU_198
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Syncephalastraceae	 g__Circinella	OTU_1651
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Strophariaceae	 g__Psilocybe	OTU_845
 k__Fungi	 p__Ascomycota	 c__Lecanoromycetes	 o__Peltigerales	 f__Peltigeraceae	 g__Peltigera	OTU_107
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Nectriaceae	 g__Nalanthamala	OTU_374
 k__Fungi	 p__Basidiomycota	 c__Pucciniomycetes	 o__Pucciniales	 f__Pucciniaceae	 g__Puccinia	OTU_801
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Spizellomyces	OTU_409
 k__Fungi	 p__Basidiomycota	 c__Agaricostilbomycetes	 o__Agaricostilbales	 f__Chionosphaeraceae	 g__Kurtzmanomyces	OTU_247
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Sordariales	 f__Helminthosphaeriaceae	 g__Spadicoides	OTU_1565
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mortierellales	 f__Mortierellaceae	 g__Mortierella	OTU_4777
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Mucoraceae	 g__Rhizopus	OTU_3452
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Lichtheimiaceae	 g__Thermomucor	OTU_1044
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Pleosporales	 f__Montagnulaceae	 g__Microsphaeropsis	OTU_3871
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Mucoraceae	 g__Rhizopus	OTU_2165
 k__Fungi	 p__Ascomycota	 c__Leotiomycetes	 o__Leotiomycetes_Incertae sedis_Incertae sedis	 f__Leotiomycetes_Incertae sedis_Incertae sedis_Incertae sedis	 g__Collophora	OTU_1631
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Hypocreales_Incertae sedis	 g__Myrothecium	OTU_167
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mortierellales	 f__Mortierellaceae	 g__Mortierella	OTU_370
 k__Fungi	 p__Basidiomycota	 c__Tremellomycetes	 o__Trichosporonales	 f__Trichosporonaceae	 g__Trichosporon	OTU_161
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Sordariomycetes_Incertae sedis_Incertae sedis	 f__Sordariomycetes_Incertae sedis_Incertae sedis_Incertae sedis	 g__Eucasphaeria	OTU_583
 k__Fungi	 p__Basidiomycota	 c__Tremellomycetes	 o__Tremellales	 f__Tremellales_Incertae sedis	 g__Auriculibuller	OTU_426
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetales_Incertae sedis	 g__Candida	OTU_618
 k__Fungi	 p__Basidiomycota	 c__Exobasidiomycetes	 o__Tilletiales	 f__Tilletiaceae	 g__Tilletia	OTU_626
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Trichomonascaceae	 g__Zygoascus	OTU_460
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Tricholomataceae	 g__Tricholoma	OTU_1369
 k__Fungi	 p__Basidiomycota	 c__Tremellomycetes	 o__Tremellales	 f__Tremellales_Incertae sedis	 g__Cryptococcus g1	OTU_338
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Pleosporales	 f__Sporormiaceae	 g__Preussia	OTU_1596
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Chaetosphaeriales	 f__Chaetosphaeriaceae	 g__Kylindria	OTU_358
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Pyronemataceae	 g__Scutellinia	OTU_522
 k__Fungi	 p__Ascomycota	 c__Pezizomycotina_Incertae sedis	 o__Pezizomycotina_Incertae sedis_Incertae sedis_Incertae sedis	 f__Pezizomycotina_Incertae sedis_Incertae sedis_Incertae sedis_Incertae sedis	 g__Atradidymella	OTU_781
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Pleosporales	 f__Phaeosphaeriaceae	 g__Phaeosphaeria	OTU_1214
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Thelephorales	 f__Bankeraceae	 g__Sarcodon	OTU_240
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Sordariales	 f__Lasiosphaeriaceae	 g__Zopfiella	OTU_49
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mortierellales	 f__Mortierellaceae	 g__Mortierella	OTU_776
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Chaetothyriales	 f__Herpotrichiellaceae	 g__Capronia	OTU_389
 k__Fungi	 p__Neocallimastigomycota	 c__Neocallimastigomycetes	 o__Neocallimastigales	 f__Neocallimastigaceae	 g__Cyllamyces	OTU_260
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Polyporales	 f__Hyphodermataceae	 g__Xylodon	OTU_1177
 k__Fungi	 p__Basidiomycota	 c__Pucciniomycetes	 o__Pucciniales	 f__Coleosporiaceae	 g__Chrysomyxa	OTU_525
 k__Fungi	 p__Ascomycota	 c__Leotiomycetes	 o__Helotiales	 f__Helotiales_Incertae sedis	 g__Tetracladium	OTU_4390
 k__Fungi	 p__Zygomycota	 c__Entomophthoromycotina_Incertae sedis	 o__Entomophthorales	 f__Basidiobolaceae	 g__Basidiobolus	OTU_769
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Sordariales	 f__Chaetomiaceae	 g__Humicola	OTU_1022
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Hypocreales_Incertae sedis	 g__Emericellopsis	OTU_157
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Mucoraceae	 g__Pilaira	OTU_1538
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Eurotiales	 f__Trichocomaceae	 g__Penicillium	OTU_349
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Xylariales	 f__Amphisphaeriaceae	 g__Discosia	OTU_475
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Marasmiaceae	 g__Armillaria	OTU_350
 k__Fungi	 p__Ascomycota	 c__Pezizomycetes	 o__Pezizales	 f__Pezizaceae	 g__Peziza	OTU_190
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Radiomycetaceae	 g__Apophysomyces	OTU_719
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetaceae	 g__Saccharomyces	OTU_610
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Ophiostomatales	 f__Ophiostomataceae	 g__Ophiostoma	OTU_1173
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Cortinariaceae	 g__Cortinarius	OTU_2111
 k__Fungi	 p__Glomeromycota	 c__Glomeromycetes	 o__Glomerales	 f__Glomeraceae	 g__Funneliformis	OTU_4155
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Pilobolaceae	 g__Pilobolus	OTU_1363
 k__Fungi	 p__Basidiomycota	 c__Microbotryomycetes	 o__Sporidiobolales	 f__Sporidiobolales_Incertae sedis	 g__Rhodotorula	OTU_5355
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Nectriaceae	 g__Cylindrocarpon	OTU_293
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Nectriaceae	 g__Falcocladium	OTU_619
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Sordariomycetes_Incertae sedis_Incertae sedis	 f__Sordariomycetes_Incertae sedis_Incertae sedis_Incertae sedis	 g__Myrmecridium	OTU_118
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mortierellales	 f__Mortierellaceae	 g__Mortierella	OTU_176
 k__Fungi	 p__Basidiomycota	 c__Tremellomycetes	 o__Trichosporonales	 f__Trichosporonaceae	 g__Trichosporon	OTU_371
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetales_Incertae sedis	 g__Candida	OTU_277
 k__Fungi	 p__Basidiomycota	 c__Tremellomycetes	 o__Tremellales	 f__Tremellales_Incertae sedis	 g__Dioszegia	OTU_952
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Hymenochaetales	 f__Hymenochaetaceae	 g__Fomitiporia	OTU_1256
 k__Fungi	 p__Basidiomycota	 c__Pucciniomycetes	 o__Pucciniales	 f__Pucciniaceae	 g__Puccinia	OTU_2433
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Eurotiales	 f__Trichocomaceae	 g__Emericella	OTU_1033
 k__Fungi	 p__Basidiomycota	 c__Agaricostilbomycetes	 o__Agaricostilbales	 f__Agaricostilbaceae	 g__Bensingtonia	OTU_4857
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Powellomyces	OTU_429
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Dothideomycetes_Incertae sedis_Incertae sedis	 f__Myxotrichaceae	 g__Myxotrichum	OTU_462
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Sordariales	 f__Lasiosphaeriaceae	 g__Podospora	OTU_755
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetales_Incertae sedis	 g__Candida	OTU_566
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Dothideomycetes_Incertae sedis_Incertae sedis	 f__Myxotrichaceae	 g__Gymnostellatospora	OTU_591
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Nectriaceae	 g__Fusarium / Gibberella	OTU_3723
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Diaporthales	 f__Diaporthales_Incertae sedis	 g__Tubakia	OTU_597
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Nectriaceae	 g__Neonectria	OTU_184
 k__Fungi	 p__Glomeromycota	 c__Glomeromycetes	 o__Paraglomerales	 f__Paraglomeraceae	 g__Paraglomus	OTU_448
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Rhizophydiales	 f__Rhizophydiaceae	 g__Rhizophydium	OTU_146
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mortierellales	 f__Mortierellaceae	 g__Mortierella	OTU_1017
 k__Fungi	 p__Basidiomycota	 c__Pucciniomycetes	 o__Pucciniales	 f__Pucciniaceae	 g__Puccinia	OTU_1574
 k__Fungi	 p__Ascomycota	 c__Lecanoromycetes	 o__Lecanorales	 f__Parmeliaceae	 g__Flavoparmelia	OTU_1016
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetales_Incertae sedis	 g__Candida	OTU_582
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Botryosphaeriales	 f__Botryosphaeriaceae	 g__Lasiodiplodia	OTU_346
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetaceae	 g__Kuraishia	OTU_927
 k__Fungi	 p__Ascomycota	 c__Lecanoromycetes	 o__Lecanorales	 f__Parmeliaceae	 g__Cetrelia	OTU_373
 k__Fungi	 p__Basidiomycota	 c__Tremellomycetes	 o__Tremellales	 f__Tremellales_Incertae sedis	 g__Hannaella	OTU_691
 k__Fungi	 p__Basidiomycota	 c__Agaricostilbomycetes	 o__Agaricostilbales	 f__Agaricostilbaceae	 g__Bensingtonia	OTU_2063
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Hypocreales_Incertae sedis	 g__Stachybotrys	OTU_1271
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Pilobolaceae	 g__Pilobolus	OTU_558
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Eurotiales	 f__Trichocomaceae	 g__Penicillium	OTU_840
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetales_Incertae sedis	 g__Candida	OTU_2253
 k__Fungi	 p__Zygomycota	 c__Entomophthoromycotina_Incertae sedis	 o__Entomophthorales	 f__Basidiobolaceae	 g__Basidiobolus	OTU_2016
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Diaporthales	 f__Valsaceae	 g__Ophiognomonia	OTU_1222
 k__Fungi	 p__Ascomycota	 c__Saccharomycetes	 o__Saccharomycetales	 f__Saccharomycetales_Incertae sedis	 g__Candida	OTU_1270
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Agaricaceae	 g__Agaricus	OTU_983
 k__Fungi	 p__Ascomycota	 c__Leotiomycetes	 o__Leotiomycetes_Incertae sedis_Incertae sedis	 f__Leotiomycetes_Incertae sedis_Incertae sedis_Incertae sedis	 g__Leohumicola	OTU_3359
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Bionectriaceae	 g__Bionectria	OTU_1102
 k__Fungi	 p__Ascomycota	 c__Pezizomycotina_Incertae sedis	 o__Pezizomycotina_Incertae sedis_Incertae sedis_Incertae sedis	 f__Pezizomycotina_Incertae sedis_Incertae sedis_Incertae sedis_Incertae sedis	 g__Xenochalara	OTU_783
 k__Fungi	 p__Basidiomycota	 c__Pucciniomycetes	 o__Pucciniales	 f__Pucciniales_Incertae sedis	 g__Hemileia	OTU_1226
 k__Fungi	 p__Basidiomycota	 c__Microbotryomycetes	 o__Sporidiobolales	 f__Sporidiobolales_Incertae sedis	 g__Rhodotorula	OTU_319
 k__Fungi	 p__Basidiomycota	 c__Pucciniomycetes	 o__Pucciniales	 f__Coleosporiaceae	 g__Chrysomyxa	OTU_5013
 k__Fungi	 p__Zygomycota	 c__Zoopagomycotina_Incertae sedis	 o__Zoopagales	 f__Piptocephalidaceae	 g__Piptocephalis	OTU_602
 k__Fungi	 p__Basidiomycota	 c__Tremellomycetes	 o__Filobasidiales	 f__Filobasidiaceae	 g__Cryptococcus g2	OTU_842
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Hypocreaceae	 g__Hypocrea	OTU_431
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Eurotiales	 f__Trichocomaceae	 g__Penicillium	OTU_418
 k__Fungi	 p__Zygomycota	 c__Entomophthoromycotina_Incertae sedis	 o__Entomophthorales	 f__Basidiobolaceae	 g__Basidiobolus	OTU_727
 k__Fungi	 p__Basidiomycota	 c__Tremellomycetes	 o__Tremellales	 f__Tremellales_Incertae sedis	 g__Cryptococcus g1	OTU_485
 k__Fungi	 p__Ascomycota	 c__Dothideomycetes	 o__Pleosporales	 f__Pleosporaceae	 g__Leptosphaerulina	OTU_415
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Eurotiales	 f__Trichocomaceae	 g__Penicillium	OTU_1141
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Sordariales	 f__Lasiosphaeriaceae	 g__Cercophora	OTU_317
 k__Fungi	 p__Ascomycota	 c__Leotiomycetes	 o__Helotiales	 f__Hyaloscyphaceae	 g__Pseudaegerita	OTU_1612
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Hypocreaceae	 g__Hypocrea	OTU_4444
 k__Fungi	 p__Basidiomycota	 c__Tremellomycetes	 o__Cystofilobasidiales	 f__Cystofilobasidiaceae	 g__Udeniomyces	OTU_362
